ID,subject,phenomenon,sub_subject,corr_sentence,wrong_sentence,generated,GPT_right,GPT_GroNLP_right,Llama2_right,Llama2_chat_right,GEITje_right,GEITje_chat_right,GEITje_sft_right,GEITje_DPO_right,BERTje_right,RobBERT_right,RobBERT_large_right,XLMRoberta_right
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De gulden is gedevalueerd.,Een gulden is gedevalueerd.,,1,1,1,0,1,1,1,1,1,1,1,0
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De walvis is een zoogdier.,De walvissen zijn zoogdieren.,,1,1,1,1,1,0,1,1,1,0,1,0
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De yen is gedevalueerd.,De yens zijn gedevalueerd.,,1,1,1,0,1,1,1,1,0,1,1,1
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De pond is gedevalueerd.,De ponden zijn gedevalueerd.,,1,1,1,0,1,1,1,1,0,1,0,1
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De euro is gedevalueerd.,De euros zijn gedevalueerd.,,1,1,1,0,1,1,1,1,1,0,0,1
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De leeuw dreigt uit te sterven.,Een leeuw dreigt uit te sterven.,,1,1,1,1,0,0,1,1,1,1,1,1
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De kikker dreigt uit te sterven.,Een kikker dreigt uit te sterven.,,1,1,1,0,1,1,1,1,1,1,1,0
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De bij dreigt uit te sterven.,Een bij dreigt uit te sterven.,,0,0,1,1,0,1,1,1,1,1,0,0
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De struisvogel dreigt uit te sterven.,Een struisvogel dreigt uit te sterven.,,1,1,1,0,1,1,0,0,1,1,0,0
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De yen is gedevalueerd.,Een yen is gedevalueerd.,,1,1,1,0,1,1,0,1,1,1,1,1
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De pond is gedevalueerd.,Een pond is gedevalueerd.,,1,1,1,0,1,1,1,1,0,1,1,1
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De euro is gedevalueerd.,Een euro is gedevalueerd.,,1,1,1,0,1,1,1,1,1,1,1,1
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De zon schijnt fel.,De zonnen schijnen fel.,,1,1,1,1,1,1,1,1,1,0,1,0
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De tijger is met uitsterven bedreigd.,Een tijger is met uitsterven bedreigd.,,0,1,1,1,1,1,0,0,1,1,1,0
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De mens is al meer dan 100.000 jaar oud.,De mensen zijn al meer dan 100.,uitgesloten,1,1,1,1,1,1,1,1,1,1,1,1
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,Het paard is een zoogdier.,De paarden zijn zoogdieren.,uitgesloten,1,1,1,1,1,1,1,1,1,0,1,1
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De dollar is gedevalueerd.,De dollars zijn gedevalueerd.,uitgesloten,1,1,1,0,1,1,1,1,1,0,1,1
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,Een appel moet je schillen voor je hem opeet.,De appel moet je schillen voor je hem opeet.,uitgesloten,1,1,1,0,1,1,1,1,0,0,1,1
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De walvis dreigt uit te sterven.,Een walvis dreigt uit te sterven.,uitgesloten,1,1,1,0,1,0,1,1,1,1,0,0
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De dollar is gedevalueerd.,Een dollar is gedevalueerd.,uitgesloten,1,1,0,0,1,1,0,0,1,1,1,1
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,Kralen maken een effen trui levendiger.,Er maken kralen een effen trui levendiger.,uitgesloten,1,1,1,1,1,1,1,1,1,1,1,1
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,Kralen maken een effen trui levendiger.,Kralen liggen.,uitgesloten,1,0,1,1,1,1,1,1,1,0,1,1
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De koe is een zoogdier.,De koeien zijn zoogdieren.,,1,1,1,1,1,1,1,1,1,0,1,0
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,Er is kaas gesneden.,Er is kaas een zuivelprodukt.,uitgesloten,0,0,1,1,1,1,1,1,0,1,0,0
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De mens bestaat al eeuwen.,De mensen bestaan al eeuwen. ,,1,1,1,0,0,0,0,0,1,0,0,0
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,Er is kaas gesneden.,Kaas is gesneden.,uitgesloten,0,0,1,0,1,0,1,1,1,0,0,0
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Niagara Falls zijn een natuurlijk wonder.,Een Niagara Falls zijn een natuurlijk wonder.,,1,1,1,1,1,1,1,1,1,1,1,1
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Niagara Falls zijn 's nachts verlicht.,Een Niagara Falls zijn 's nachts verlicht.,,1,1,1,1,1,1,1,1,1,1,1,1
