"ID","subject","phenomenon","sub_subject","corr_sentence","wrong_sentence","generated","GPT_right","GPT_GroNLP_right","Llama2_right","Llama2_chat_right","GEITje_right","GEITje_chat_right","GEITje_sft_right","GEITje_DPO_right","BERTje_right","RobBERT_right","RobBERT_large_right","XLMRoberta_right"
1,"naamwoordelijke_constituent","Bepaalde, onbepaalde, categoriale en generieke naamwoordelijke constituenten","Bepaalde en onbepaalde naamwoordelijke constituenten","De maan schijnt.","Er schijnt een maan.","uitgesloten",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1,"naamwoordelijke_constituent","Bepaalde, onbepaalde, categoriale en generieke naamwoordelijke constituenten","Bepaalde en onbepaalde naamwoordelijke constituenten","De zon schijnt.","Er schijnt een zon.","",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1,"naamwoordelijke_constituent","Bepaalde, onbepaalde, categoriale en generieke naamwoordelijke constituenten","Bepaalde en onbepaalde naamwoordelijke constituenten","De aarde is bol.","Een aarde is bol.","",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1,"naamwoordelijke_constituent","Bepaalde, onbepaalde, categoriale en generieke naamwoordelijke constituenten","Bepaalde en onbepaalde naamwoordelijke constituenten","De sahara is erg heet.","Een sahara is erg heet.","",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1,"naamwoordelijke_constituent","Bepaalde, onbepaalde, categoriale en generieke naamwoordelijke constituenten","Bepaalde en onbepaalde naamwoordelijke constituenten","De Eiffeltoren staat in Parijs.","Er staat een Eiffeltoren in Parijs.","",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
1,"naamwoordelijke_constituent","Bepaalde, onbepaalde, categoriale en generieke naamwoordelijke constituenten","Bepaalde en onbepaalde naamwoordelijke constituenten","De Mona Lisa hangt in het Louvre.","Er hangt een Mona Lisa in het Louvre","",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1,"naamwoordelijke_constituent","Bepaalde, onbepaalde, categoriale en generieke naamwoordelijke constituenten","Bepaalde en onbepaalde naamwoordelijke constituenten","De Toren van Pisa helt over.","Er helt een Toren van Pisa over.","",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1,"naamwoordelijke_constituent","Bepaalde, onbepaalde, categoriale en generieke naamwoordelijke constituenten","Bepaalde en onbepaalde naamwoordelijke constituenten","De Taj Mahal staat in India.","Er staat een Taj Mahal in India.","",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1,"naamwoordelijke_constituent","Bepaalde, onbepaalde, categoriale en generieke naamwoordelijke constituenten","Bepaalde en onbepaalde naamwoordelijke constituenten","De Mona Lisa is beroemd.","Een mona Lisa is beroemd.","",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1,"naamwoordelijke_constituent","Bepaalde, onbepaalde, categoriale en generieke naamwoordelijke constituenten","Bepaalde en onbepaalde naamwoordelijke constituenten","De Amazonerivier is lang.","Een Amazonerivier is lang.","",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
