Llama2_chat_corr_score,Llama2_chat_wrong_score,Llama2_chat_right
-4.70597218633962,-5.592892905580811,False
-4.768128918084715,-5.539652099716477,False
-5.940744320551555,-7.147618373235066,False
-6.307226824457757,-5.858184805889323,True
-3.475165665484259,-3.6677245720725296,False
-3.836865836812649,-4.3544168019011105,False
-5.160002294182777,-5.937426209449768,False
-4.495279469659888,-4.572180655159173,False
-4.708154455898329,-4.997329255356453,False
-8.072031707968563,-7.678752294974402,True
-7.029299293245588,-6.349494108131954,True
-6.911949293274018,-6.812811182708376,True
-4.904678142733044,-5.253137513995171,False
-4.685731806223178,-4.544301910452884,True
-3.202778016119947,-3.1995281528271824,True
-3.373738771958205,-3.7671193126958453,False
-3.475165665484259,-3.41744635862208,True
-3.7411234925081467,-3.8201531736776815,False
-4.137983545879251,-4.235846730668224,False
-3.705640850844793,-3.779524067258795,False
-3.9212829300610923,-3.882732915769988,True
-3.734104046678672,-3.7628018298777395,False
-4.474195625487482,-4.319715160712473,True
-5.060889797551291,-6.429418870380947,False
-5.808603389188647,-6.072916839803968,False
-5.808603389188647,-5.299175402522087,True
-5.685366198420525,-7.254108806451161,False
-5.685366198420525,-5.99396976629893,False
-4.303211984758188,-4.200268329989437,True
-4.457911612646058,-4.053322326748275,True
-3.437148961181568,-4.019751744615011,False
-4.303211984758188,-5.382690285867284,False
-3.3777368770475733,-4.713426766089267,False
-2.579398260505008,-3.386168746588131,False
-3.420255878171539,-3.2397666496045923,True
-4.844156246050261,-6.9454037845134735,False
-5.031354163635115,-4.848503231154609,True
-6.70882559786292,-5.1631123949345135,True
-6.534298699168074,-5.234541021297143,True
-3.9780033809936586,-3.8711772729844736,True
-5.117777095679937,-5.523540727354379,False
-3.8486798801151796,-3.5500177187135376,True
-4.897836016097244,-5.20735216757821,False
-5.031354163635115,-4.893986925023556,True
-6.70882559786292,-6.186445770054383,True
-6.534298699168074,-6.51090970786754,True
-4.048803400417091,-5.053638833318837,False
-4.032964639237616,-4.417881840374321,False
-5.94188819316696,-5.324816062769969,True
-6.071649523160886,-5.4063544666423695,True
-4.327635383571033,-5.043544893644543,False
-5.2597325618456425,-6.030980536643734,False
-4.327110325458979,-4.558928542446823,False
-3.8509854102132306,-4.564119858763401,False
-4.762223681372901,-5.6781255428989725,False
-3.9969671027502045,-4.980961487894612,False
-3.9408461238361068,-4.298984178400133,False
-3.7378389576494504,-4.72813087788245,False
-4.6906938788015395,-5.812436184047589,False
-4.109204564004023,-4.6689615923764105,False
-3.474303421028162,-4.176929448609978,False
-4.939269030641299,-5.863913142255375,False
-4.432712797750719,-4.505606457383534,False
-4.48253530934453,-5.287442226323765,False
-4.543662651315874,-5.182126900948788,False
-4.496710692605886,-4.268930691783316,True
-4.599965294415597,-4.617804178374354,False
-4.599965294415597,-5.1244825678387365,False
-4.614225854823256,-4.971336464452393,False
-4.002284720391294,-4.413363303153721,False
-5.422585725520751,-5.17190712750663,True
-4.779569340916503,-5.264937348568411,False
-3.7354285911971923,-4.578365825809305,False
-4.633541452149594,-5.706164599947022,False
-5.296585510494576,-5.365343662828049,False
-4.563715857946697,-5.631641358882189,False
-5.115729930686454,-5.831469808306013,False
-3.571416491531743,-3.920540941253421,False
-5.389837809913682,-5.432009020296391,False
-4.998052299006043,-5.67054868202943,False
-4.87923280792669,-6.198065187083557,False
-6.150844702353845,-6.4116596182187395,False
-3.916486237461435,-4.415559180711984,False
-6.467848257585005,-6.550934314727783,False
-6.467848257585005,-7.328559116883711,False
-6.467848257585005,-6.747287054856618,False
-5.215815357863903,-5.405265033245087,False
-5.564204883210672,-5.880421756321864,False
-4.1784637288399,-4.459817706954449,False
-4.025876974919811,-5.159590382128954,False
-3.9495812077409083,-4.18970239641009,False
-4.65543178016586,-5.356211863147716,False
-5.656746970043969,-6.952384487601618,False
-5.266055385147532,-6.459692940689051,False
-5.349278162582777,-4.646052627653504,True
-5.349278162582777,-5.963019846506151,False
-5.349278162582777,-5.5703568025957795,False
-4.65900074794327,-5.360452258195437,False
-5.830892072763163,-6.01819836506232,False
-4.404768259124467,-4.84152839375065,False
-5.499469198286533,-5.395672998258045,True
-4.485465966379986,-5.106174163830777,False
-4.485465966379986,-4.688723249445585,False
-6.176693149975368,-6.014529259875417,True
-6.2977886067496405,-8.729377190272013,False
-4.698626738311456,-6.749610389981951,False
-6.336017645895481,-6.648543119430542,False
-5.6278702286072075,-7.367885289092858,False
-5.708759120532444,-8.358467388153077,False
-5.538075618187173,-8.31141209602356,False
-3.3696439955152266,-5.7672962248907425,False
-4.982026766391937,-7.106946309407552,False
-4.854145193641836,-7.436919132868449,False
-4.237505186254566,-6.5769643855746835,False
-4.584154946463449,-6.367708206176758,False
-5.0556422136723995,-5.897466078400612,False
-3.3808190524472264,-4.721405440020714,False
-4.8099245518032046,-5.648265738785267,False
-5.651833117008209,-6.210948884487152,False
-5.296731957048178,-5.402658639848232,False
-4.123652333563024,-4.857649617574432,False
-5.266540050506592,-6.133853481047684,False
-4.42804625146091,-5.114873918890953,False
-5.1455269157886505,-5.728394325822592,False
-5.487941652536392,-5.645449593663216,False
-4.791231485930356,-6.056898305813472,False
-4.417050422914326,-5.198368041352793,False
-4.563191875944742,-5.389340630008115,False
-3.8285969708125447,-5.013080261919337,False
-3.9577883215517633,-5.933628869056702,False
-5.331226338810262,-6.304432912716745,False
-4.8209268767386675,-5.101145623251796,False
-4.8209268767386675,-7.220138390858968,False
-4.766600885561535,-6.988645439346631,False
-6.464819889515638,-8.149098968505859,False
-5.3753679394721985,-8.213857849438986,False
-3.9392909773625435,-5.243620412540622,False
-6.687263521631913,-8.53483738899231,False
-7.555984480306506,-8.141901445388793,False
-6.215064794756472,-7.748306607206662,False
-3.7275915079350983,-4.141581277921796,False
-4.755001235753298,-5.871825898687045,False
-5.13561715398516,-5.899277074883382,False
-3.9621623098733836,-5.1421550288796425,False
-4.682623000194629,-6.057741339877248,False
-5.9018792400934865,-7.014359205961227,False
-5.525858708790371,-6.24884457886219,False
-5.129580820139381,-5.710191257867134,False
-7.856725772221883,-8.779316357203893,False
-4.61151144405206,-5.164329180121422,False
-3.6772998278443993,-6.71054673463934,False
-5.614998533949256,-5.862456162770589,False
-3.5706869415772906,-3.706029426756556,False
-6.148694451277454,-7.625414113203685,False
-3.55971400151909,-3.5247107314485633,True
-5.738374318266223,-7.020107405526297,False
-5.676450475921026,-7.659988301140921,False
-5.591401489873533,-6.808100372552872,False
-3.9162101767261364,-6.237874945004781,False
-4.46234737968025,-7.874681085348129,False
-4.231049855716992,-6.451722960919142,False
-4.112578230846835,-6.972189416488011,False
-4.757087493612845,-5.755098836496472,False
-4.803630774538033,-5.507940808104144,False
-5.5465945333242415,-5.710371573766072,False
-6.38282785564661,-6.747474023274013,False
-5.230097003720908,-4.86302566001541,True
-4.39036804921811,-5.514928294019046,False
-7.063222236665232,-7.358955631653468,False
-5.95771262422204,-6.573486566543579,False
-3.172004367905454,-3.682700902313137,False
-4.397954553680028,-5.729572792351246,False
-3.8421883986077527,-5.103232116628946,False
-5.169031283957883,-6.800580738484859,False
-4.201025126424308,-5.693873229126136,False
-4.434406588156707,-5.716856387257576,False
-6.173897893478473,-6.257186243776232,False
-4.5633330482063075,-4.240096957595118,True
-4.354880596574565,-4.591072419150309,False
-4.030391056322305,-4.8295752498894355,False
-2.837075925654393,-3.399790496787649,False
-5.14027601480484,-5.683014154434204,False
-4.992324166349135,-5.775798544287682,False
-5.044542625546455,-6.1483388133347034,False
-5.331912075149982,-6.709478817880154,False
-4.234971737404703,-6.852949030697346,False
-4.071495210116899,-6.510217719607883,False
-3.63746011899556,-6.601247878538238,False
-4.938410129535689,-7.007015731599596,False
-4.680321948269718,-6.976241656712124,False
-5.930477706206148,-8.123789469401041,False
-4.622931615093169,-7.866405303989138,False
-3.9647015197753297,-5.721867340803146,False
-4.647753306105733,-6.130300790071487,False
-3.1600310402943497,-4.68821027807214,False
-5.265326988572876,-5.867353197652847,False
